,lot_lotsize1,lot_lotsize2,lot_pooltype,area_blockNum,area_subdname,area_taxcodearea,address_line1,address_locality,address_postal2,address_postal3,location_accuracy,location_geoIdV4_CO,summary_proptype,summary_propertyType,summary_yearbuilt,summary_propIndicator,utilities_heatingtype,building_size_bldgsize,building_size_grosssize,building_size_grosssizeadjusted,building_size_livingsize,building_size_sizeInd,building_size_universalsize,building_rooms_bathsfull,building_rooms_bathstotal,building_interior_bsmtsize,building_interior_bsmttype,building_interior_fplcind,building_interior_fplctype,building_construction_constructiontype,building_construction_roofcover,building_construction_roofShape,building_construction_wallType,building_parking_garagetype,building_parking_prkgSize,building_parking_prkgSpaces,building_parking_prkgType,building_summary_archStyle,building_summary_bldgType,building_summary_imprType,building_summary_levels,building_summary_quality,building_summary_storyDesc,building_summary_viewCode,sale_amount_saletranstype,sale_amount_saleamt,sale_calculation_pricepersizeunit
49,0.2500918,10894,NO POOL,11,CENTURY WEST,0150,5144 KING ARTHUR WAY,CHEYENNE,4906,C030,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1978,10,FORCED AIR,1160,3332,1160,1160,LIVING SQFT,1160,2,2.0,1160.0,FINISHED,Y,YES,FRAME,COMPOSITION SHINGLE,GABLE,WOOD,"Garage, Attached",1012.0,4,"Garage, Attached",RANCH,CONVENTIONAL HOUSE,HOUSE,1,AVERAGE,CONVENTIONAL HOUSE,000,Resale,204052.0,175.91
50,0.3263315,14215,NO POOL,11,CENTURY WEST,0150,5148 KING ARTHUR WAY,CHEYENNE,4906,C030,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1978,10,FORCED AIR,1387,3027,1387,1387,LIVING SQFT,1387,3,3.0,1088.0,FINISHED,Y,YES,FRAME,COMPOSITION SHINGLE,GABLE,ALUMINUM/VINYL,"Garage, Built-in",552.0,2,"Garage, Built-in",BI-LEVEL,CONVENTIONAL HOUSE,HOUSE,1,AVERAGE,CONVENTIONAL HOUSE,000,Resale,125000.0,90.12
52,0.1836088,7998,NO POOL,12,CENTURY WEST,0150,5100 TEN SLEEP DR,CHEYENNE,4939,C030,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1978,10,FORCED AIR,1168,2728,1168,1168,LIVING SQFT,1168,3,3.0,1056.0,FINISHED,Y,YES,FRAME,COMPOSITION SHINGLE,GABLE/HIP,WOOD,"Garage, Attached",504.0,2,"Garage, Attached",RANCH,CONVENTIONAL HOUSE,HOUSE,1,AVERAGE,CONVENTIONAL HOUSE,000,Resale,225000.0,192.64
56,0.1609045,7009,NO POOL,13,CENTURY WEST,0150,5121 TEN SLEEP DR,CHEYENNE,4938,C030,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1978,10,FORCED AIR,1138,2464,1138,1138,LIVING SQFT,1138,3,3.0,798.0,FINISHED,Y,YES,FRAME,COMPOSITION SHINGLE,GABLE/HIP,WOOD,"Garage, Built-in",528.0,2,"Garage, Built-in",BI-LEVEL,CONVENTIONAL HOUSE,HOUSE,1,AVERAGE,CONVENTIONAL HOUSE,000,Resale,298275.0,262.1
61,0.1492195,6500,NO POOL,12,CENTURY WEST,0150,5220 TEN SLEEP DR,CHEYENNE,4958,C030,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1978,10,FORCED AIR,1138,2464,1138,1138,LIVING SQFT,1138,3,3.0,842.0,FINISHED,Y,YES,FRAME,COMPOSITION SHINGLE,GABLE/HIP,WOOD,"Garage, Built-in",484.0,2,"Garage, Built-in",BI-LEVEL,CONVENTIONAL HOUSE,HOUSE,1,AVERAGE,CONVENTIONAL HOUSE,000,Resale,249287.0,219.06
70,0.1591598,6933,NO POOL,1,SPRING VALLEY ADDITION,0150,5409 FREDERICK DR,CHEYENNE,4116,C043,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1959,10,FORCED AIR,1755,3135,1755,1755,LIVING SQFT,1755,3,3.0,1380.0,FINISHED,Y,YES,FRAME,COMPOSITION SHINGLE,HIP,BRICK/STONE (BRICK AND/OR STONE),"Garage, Detached",416.0,2,"Garage, Detached",RANCH,CONVENTIONAL HOUSE,HOUSE,1,FAIR,CONVENTIONAL HOUSE,000,Resale,200000.0,113.96
76,0.2059229,8970,NO POOL,3,YELLOWSTONE ADDITION,0150,128 DELL RANGE BLVD,CHEYENNE,4706,C043,Rooftop,16856031afb1b236f0d628bb802eac71,SFR,SINGLE FAMILY RESIDENCE,1935,10,FORCED AIR,1010,2260,1010,1010,LIVING SQFT,1010,2,2.0,1010.0,FINISHED,Y,YES,FRAME,COMPOSITION SHINGLE,GABLE,STUCCO,"Garage, Attached",240.0,1,"Garage, Attached",RANCH,CONVENTIONAL HOUSE,HOUSE,1,FAIR,CONVENTIONAL HOUSE,000,Resale,321335.0,318.15
100,0.1,4000,NO POOL,0,Subdivision 0,TX0,1000 Main St,City0,ZIP2-0,ZIP3-0,ROOFTOP,CO0,Single Family,Residential,1950,N,Gas,1000,1200,1100,950,Actual,1050,2,2.5,0.0,Finished,Y,Wood,Frame,Asphalt,Gable,Siding,Attached,200.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,100000.0,100.0
101,0.15,4100,POOL,1,Subdivision 1,TX1,1001 Main St,City1,ZIP2-1,ZIP3-1,ROOFTOP,CO1,Condo,Residential,1951,Y,Electric,1002,1202,1102,952,Actual,1052,3,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,201.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,101000.0,101.0
102,0.2,4200,NO POOL,2,Subdivision 2,TX2,1002 Main St,City2,ZIP2-2,ZIP3-2,ROOFTOP,CO2,Single Family,Residential,1952,Y,Electric,1004,1204,1104,954,Actual,1054,4,2.5,500.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,202.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,102000.0,102.0
103,0.25,4300,POOL,3,Subdivision 3,TX0,1003 Main St,City3,ZIP2-3,ZIP3-3,ROOFTOP,CO3,Condo,Residential,1953,Y,Gas,1006,1206,1106,956,Actual,1056,2,3.0,500.0,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,203.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,103000.0,103.0
104,0.3,4400,NO POOL,4,Subdivision 4,TX1,1004 Main St,City4,ZIP2-4,ZIP3-4,ROOFTOP,CO4,Single Family,Residential,1954,Y,Electric,1008,1208,1108,958,Actual,1058,3,2.5,0.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,204.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,104000.0,104.0
105,0.35,4500,POOL,5,Subdivision 0,TX2,1005 Main St,City5,ZIP2-5,ZIP3-5,ROOFTOP,CO5,Condo,Residential,1955,Y,Electric,1010,1210,1110,960,Actual,1060,4,3.0,500.0,Unfinished,Y,Gas,Frame,Asphalt,Gable,Siding,Detached,205.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,105000.0,105.0
106,0.4,4600,NO POOL,6,Subdivision 1,TX0,1006 Main St,City6,ZIP2-6,ZIP3-6,ROOFTOP,CO6,Single Family,Residential,1956,Y,Gas,1012,1212,1112,962,Actual,1062,2,2.5,500.0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,206.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,106000.0,106.0
107,0.45,4700,POOL,7,Subdivision 2,TX1,1007 Main St,City7,ZIP2-7,ZIP3-7,ROOFTOP,CO7,Condo,Residential,1957,Y,Electric,1014,1214,1114,964,Actual,1064,3,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,207.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,107000.0,107.0
108,0.5,4800,NO POOL,8,Subdivision 3,TX2,1008 Main St,City8,ZIP2-8,ZIP3-8,ROOFTOP,CO8,Single Family,Residential,1958,Y,Electric,1016,1216,1116,966,Actual,1066,4,2.5,0.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,208.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,108000.0,108.0
109,0.55,4900,POOL,9,Subdivision 4,TX0,1009 Main St,City9,ZIP2-9,ZIP3-9,ROOFTOP,CO9,Condo,Residential,1959,Y,Gas,1018,1218,1118,968,Actual,1068,2,3.0,500.0,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,209.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,109000.0,109.0
110,0.1,5000,NO POOL,0,Subdivision 0,TX1,1010 Main St,City0,ZIP2-10,ZIP3-10,ROOFTOP,CO10,Single Family,Residential,1960,N,Electric,1020,1220,1120,970,Actual,1070,3,2.5,500.0,Unfinished,Y,Wood,Frame,Asphalt,Gable,Siding,Detached,210.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,110000.0,110.0
111,0.15,5100,POOL,1,Subdivision 1,TX2,1011 Main St,City1,ZIP2-11,ZIP3-11,ROOFTOP,CO11,Condo,Residential,1961,Y,Electric,1022,1222,1122,972,Actual,1072,4,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,211.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,111000.0,111.0
112,0.2,5200,NO POOL,2,Subdivision 2,TX0,1012 Main St,City2,ZIP2-12,ZIP3-12,ROOFTOP,CO12,Single Family,Residential,1962,Y,Gas,1024,1224,1124,974,Actual,1074,2,2.5,0.0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,212.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,112000.0,112.0
113,0.25,5300,POOL,3,Subdivision 3,TX1,1013 Main St,City3,ZIP2-13,ZIP3-13,ROOFTOP,CO13,Condo,Residential,1963,Y,Electric,1026,1226,1126,976,Actual,1076,3,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,213.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,113000.0,113.0
114,0.3,5400,NO POOL,4,Subdivision 4,TX2,1014 Main St,City4,ZIP2-14,ZIP3-14,ROOFTOP,CO14,Single Family,Residential,1964,Y,Electric,1028,1228,1128,978,Actual,1078,4,2.5,500.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,214.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,114000.0,114.0
115,0.35,5500,POOL,5,Subdivision 0,TX0,1015 Main St,City5,ZIP2-15,ZIP3-15,ROOFTOP,CO15,Condo,Residential,1965,Y,Gas,1030,1230,1130,980,Actual,1080,2,3.0,500.0,Finished,Y,Gas,Frame,Asphalt,Gable,Siding,Attached,215.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,115000.0,115.0
116,0.4,5600,NO POOL,6,Subdivision 1,TX1,1016 Main St,City6,ZIP2-16,ZIP3-16,ROOFTOP,CO16,Single Family,Residential,1966,Y,Electric,1032,1232,1132,982,Actual,1082,3,2.5,0.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,216.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,116000.0,116.0
117,0.45,5700,POOL,7,Subdivision 2,TX2,1017 Main St,City7,ZIP2-17,ZIP3-17,ROOFTOP,CO17,Condo,Residential,1967,Y,Electric,1034,1234,1134,984,Actual,1084,4,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,217.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,117000.0,117.0
118,0.5,5800,NO POOL,8,Subdivision 3,TX0,1018 Main St,City8,ZIP2-18,ZIP3-18,ROOFTOP,CO18,Single Family,Residential,1968,Y,Gas,1036,1236,1136,986,Actual,1086,2,2.5,500.0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,218.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,118000.0,118.0
119,0.55,5900,POOL,9,Subdivision 4,TX1,1019 Main St,City9,ZIP2-19,ZIP3-19,ROOFTOP,CO19,Condo,Residential,1969,Y,Electric,1038,1238,1138,988,Actual,1088,3,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,219.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,119000.0,119.0
120,0.1,6000,NO POOL,0,Subdivision 0,TX2,1020 Main St,City0,ZIP2-20,ZIP3-20,ROOFTOP,CO20,Single Family,Residential,1970,N,Electric,1040,1240,1140,990,Actual,1090,4,2.5,0.0,Unfinished,Y,Wood,Frame,Asphalt,Gable,Siding,Detached,220.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,120000.0,120.0
121,0.15,6100,POOL,1,Subdivision 1,TX0,1021 Main St,City1,ZIP2-21,ZIP3-21,ROOFTOP,CO21,Condo,Residential,1971,Y,Gas,1042,1242,1142,992,Actual,1092,2,3.0,500.0,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,221.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,121000.0,121.0
122,0.2,6200,NO POOL,2,Subdivision 2,TX1,1022 Main St,City2,ZIP2-22,ZIP3-22,ROOFTOP,CO22,Single Family,Residential,1972,Y,Electric,1044,1244,1144,994,Actual,1094,3,2.5,500.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,222.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,122000.0,122.0
123,0.25,6300,POOL,3,Subdivision 3,TX2,1023 Main St,City3,ZIP2-23,ZIP3-23,ROOFTOP,CO23,Condo,Residential,1973,Y,Electric,1046,1246,1146,996,Actual,1096,4,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,223.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,123000.0,123.0
124,0.3,6400,NO POOL,4,Subdivision 4,TX0,1024 Main St,City4,ZIP2-24,ZIP3-24,ROOFTOP,CO24,Single Family,Residential,1974,Y,Gas,1048,1248,1148,998,Actual,1098,2,2.5,0.0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,224.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,124000.0,124.0
125,0.35,6500,POOL,5,Subdivision 0,TX1,1025 Main St,City5,ZIP2-25,ZIP3-25,ROOFTOP,CO25,Condo,Residential,1975,Y,Electric,1050,1250,1150,1000,Actual,1100,3,3.0,500.0,Unfinished,Y,Gas,Frame,Asphalt,Gable,Siding,Detached,225.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,125000.0,125.0
126,0.4,6600,NO POOL,6,Subdivision 1,TX2,1026 Main St,City6,ZIP2-26,ZIP3-26,ROOFTOP,CO26,Single Family,Residential,1976,Y,Electric,1052,1252,1152,1002,Actual,1102,4,2.5,500.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,226.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,126000.0,126.0
127,0.45,6700,POOL,7,Subdivision 2,TX0,1027 Main St,City7,ZIP2-27,ZIP3-27,ROOFTOP,CO27,Condo,Residential,1977,Y,Gas,1054,1254,1154,1004,Actual,1104,2,3.0,500.0,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,227.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,127000.0,127.0
128,0.5,6800,NO POOL,8,Subdivision 3,TX1,1028 Main St,City8,ZIP2-28,ZIP3-28,ROOFTOP,CO28,Single Family,Residential,1978,Y,Electric,1056,1256,1156,1006,Actual,1106,3,2.5,0.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,228.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,128000.0,128.0
129,0.55,6900,POOL,9,Subdivision 4,TX2,1029 Main St,City9,ZIP2-29,ZIP3-29,ROOFTOP,CO29,Condo,Residential,1979,Y,Electric,1058,1258,1158,1008,Actual,1108,4,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,229.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,129000.0,129.0
130,0.1,7000,NO POOL,0,Subdivision 0,TX0,1030 Main St,City0,ZIP2-30,ZIP3-30,ROOFTOP,CO30,Single Family,Residential,1980,N,Gas,1060,1260,1160,1010,Actual,1110,2,2.5,500.0,Finished,Y,Wood,Frame,Asphalt,Gable,Siding,Attached,230.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,130000.0,100.0
131,0.15,7100,POOL,1,Subdivision 1,TX1,1031 Main St,City1,ZIP2-31,ZIP3-31,ROOFTOP,CO31,Condo,Residential,1981,Y,Electric,1062,1262,1162,1012,Actual,1112,3,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,231.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,131000.0,101.0
132,0.2,7200,NO POOL,2,Subdivision 2,TX2,1032 Main St,City2,ZIP2-32,ZIP3-32,ROOFTOP,CO32,Single Family,Residential,1982,Y,Electric,1064,1264,1164,1014,Actual,1114,4,2.5,0.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,232.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,132000.0,102.0
133,0.25,7300,POOL,3,Subdivision 3,TX0,1033 Main St,City3,ZIP2-33,ZIP3-33,ROOFTOP,CO33,Condo,Residential,1983,Y,Gas,1066,1266,1166,1016,Actual,1116,2,3.0,500.0,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,233.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,133000.0,103.0
134,0.3,7400,NO POOL,4,Subdivision 4,TX1,1034 Main St,City4,ZIP2-34,ZIP3-34,ROOFTOP,CO34,Single Family,Residential,1984,Y,Electric,1068,1268,1168,1018,Actual,1118,3,2.5,500.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,234.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,134000.0,104.0
135,0.35,7500,POOL,5,Subdivision 0,TX2,1035 Main St,City5,ZIP2-35,ZIP3-35,ROOFTOP,CO35,Condo,Residential,1985,Y,Electric,1070,1270,1170,1020,Actual,1120,4,3.0,500.0,Unfinished,Y,Gas,Frame,Asphalt,Gable,Siding,Detached,235.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,135000.0,105.0
136,0.4,7600,NO POOL,6,Subdivision 1,TX0,1036 Main St,City6,ZIP2-36,ZIP3-36,ROOFTOP,CO36,Single Family,Residential,1986,Y,Gas,1072,1272,1172,1022,Actual,1122,2,2.5,0.0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,236.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,136000.0,106.0
137,0.45,7700,POOL,7,Subdivision 2,TX1,1037 Main St,City7,ZIP2-37,ZIP3-37,ROOFTOP,CO37,Condo,Residential,1987,Y,Electric,1074,1274,1174,1024,Actual,1124,3,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,237.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,137000.0,107.0
138,0.5,7800,NO POOL,8,Subdivision 3,TX2,1038 Main St,City8,ZIP2-38,ZIP3-38,ROOFTOP,CO38,Single Family,Residential,1988,Y,Electric,1076,1276,1176,1026,Actual,1126,4,2.5,500.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,238.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,138000.0,108.0
139,0.55,7900,POOL,9,Subdivision 4,TX0,1039 Main St,City9,ZIP2-39,ZIP3-39,ROOFTOP,CO39,Condo,Residential,1989,Y,Gas,1078,1278,1178,1028,Actual,1128,2,3.0,500.0,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,239.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,139000.0,109.0
140,0.1,8000,NO POOL,0,Subdivision 0,TX1,1040 Main St,City0,ZIP2-40,ZIP3-40,ROOFTOP,CO40,Single Family,Residential,1990,N,Electric,1080,1280,1180,1030,Actual,1130,3,2.5,0.0,Unfinished,Y,Wood,Frame,Asphalt,Gable,Siding,Detached,240.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,140000.0,110.0
